;project_name;project_number;pc_name;pc_reason;pc_description;Von_bis;planned_total_cost;nbs;abs;elektrification;batterie;second_track;third_track;fourth_track;curve;platform;junction_station;number_junction_station;overtaking_station;number_overtaking_station;double_occupancy;block_increase;flying_junction;tunnel_structural_gauge;increase_speed;new_vmax;level_free_platform_entrance;etcs;etcs_level;station_railroad_switches;station_modernization;effect_long_rail;effect_local_rail;effect_cargo;;;Strecken/Knoten;SPFV/SGV-Wirkung;Streckennummer;Bundesland;in Pros-D;railway lines;Subprojekte anlegen;GANTT;Zuordnung Korridor/Überprojekt;Gesamtmaßnahmenliste
1;Deutschlandtakt ABS Bad Zwischenahn – Westerstede Geholt;D-1;ABS Bad Zwischenahn – Westerstede Geholt;Mehrverkehr für Halbstundenrhythmus kombiniert aus Nah- und Fernverkehrmitgewünschten Knoteneinbindungen in Leer und Oldenburg, Erreichung der Knotenzeiten in Leer;zweigleisiger Abschnitt Bad Zwischenahn -Westerstede-Geholt;Bad Zwischenahn – Westerstede Geholt;60,7;;WAHR;;;WAHR;;;;;;;;;;;;;;;;;;;;FALSCH;FALSCH;WAHR;;;Oldenburg- Leer;mittelbar;1520;;ja;ja;nein;ja;Maßnahmen NRW/Niedersachsen/SH;x
2;Deutschlandtakt NBS Heigenbrücken – Nantenbach;D-2;NBS Heigenbrücken – Nantenbach;Kapazitätssteigerung für Mehrverkehr SPNV und SPFV und Erreichung von Knotenzeiten in Frankfurt und Würzburg (Knoten O und 30 in Würzburg) sowie Beitrag Zielfahrzeit Frankfurt- Würzburg von 53 Minuten (inkl. 2' Haltezeit in Aschaffenburg) zur Anschlussherstel- lung;zweigleisige NBS Heigenbrücken (Abzw. niveaufrei) – Abzw. Nantenbach (Abzw. niveaufrei) für 230 km/h;Heigenbrücken – Nantenbach;1541,3;WAHR;;;;;;;;;;;;;;;;;;;;WAHR;;;;WAHR;WAHR;WAHR;;;Aschaffenburg - Würzburg;unmittelbar;5216;;ja;ja;ja;ja;Frankfurt - Aschaffenburg - Würzburg - Nürnberg;x
3;Deutschlandtakt ABS Großkrotzenburg – Steinerts;D-3;ABS Großkrotzenburg – Steinerts;Kapazitätssteigerung bzw. Engpassauflösung sowie Beitrag zur Zielfahrzeit Frankfur t- Würzburg von 53 Minuten (inkl. 2' Haltezeit in Aschaffenburg) zur Anschlussherstellung;viergleisiger Abschnitt Großkrotzenburg – Steinerts, Geschwindigkeitserhöhung auf Ferngleisen auf 230 km/h im Abschnitt Großauheim -  Steinerts, Abzweige in Großkrotzenburg und Steinerts niveaufrei (in Steinerts sowohl von den schnellen als auch von den langsamen Gleisen in die Kurve Richtung Mainaschaff);Großkrotzenburg – Steinerts;643,6;;WAHR;;;;WAHR;WAHR;;;;;;;;;;;WAHR;230;;;;;;WAHR;WAHR;WAHR;;;Hanau - Aschaffenburg;unmittelbar;3660;;ja;nein;ja;ja;Frankfurt - Aschaffenburg - Würzburg - Nürnberg;x
4;Deutschlandtakt Knoten Bullay DB;D-4;Knoten Bullay DB;Mischverkehrsstrecke, Harmonisierung Konzepte SPFV/SPNV aufgrund planmäßiger Überholung zur Einbindung in den Knoten Koblenz;neue Bahnsteigkante in Bullay DB am Ausweichgleis in Richtung Trier;Bullay DB;8,3;;;;;;;;;WAHR;;;;;;;;;;;;;;;;FALSCH;FALSCH;WAHR;;;Koblenz - Trier;mittelbar;3010;RLP;ja;nein;nein;ja;Maßnahmen Hessen/RLP; 
5;Deutschlandtakt Bahnhof Cölbe;D-5;Bahnhof Cölbe;Mischverkehrsstrecke, Kreuzen des Regionalverkehrs im Nordkopf von Cölbe aufgrund neuer Fahrlage des SPFV;je eine neue Weichenverbindung im nördlichen und südlichen Bahnhofskopf von Cölbe zw. Gleis 4,3 und 2 sowie der Strecke 2870, Verschwenkung des Durchfahrtsgleises Nord-Süd nach Gleis 2;Bahnhof Cölbe;16;;;;;;;;;;;;;;;;;;;;;;;WAHR;;FALSCH;FALSCH;WAHR;;;Gießen - Kassel;mittelbar;2870;Hessen;ja;ja;nein;ja;Maßnahmen Hessen/RLP; 
6;Deutschlandtakt Baunatal-Guntershausen;D-6;Baunatal-Guntershausen;Mischverkehrsstrecke, Beseitigung von Trassenkonflikten zwischen RegioTram (RT) Kassel- Melsungen, SPNV Frankfurt- Kassel so- wie der gewünschten Fahrlage der Linie FR36 (Knoteneinbindungen Kassel und Eisenach);"zwei neue Bahnsteiggleise in Baunatal-Guntershausen: ein Bahn- steiggleis auf der Außenseite in Richtung Guxhagen -> Kassel, ein Bahnsteiggleis auf der Innenseite in Richtung Wabern -> Kassel= anstelle des bestehenden Hauptgleises 3 (Versetzen der bestehen- den Hauptgleise westlich notwendig), Nordkopf: DKW statt Kreuzung für parallele Fahrmöglichkeiten von Gleis 1 -> Kassel und von Kassel -> Gleis 3; Südkopf: neue Weichenverbindung vom Gleis 3 in Streckengleis nach Guxhagen";Baunatal-Guntershausen;42,1;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;FALSCH;WAHR;;;Kassel - Gießen/Bebra;mittelbar;3900/6340;Hessen;ja;nein;nein;ja;Maßnahmen Hessen/RLP; 
7;Deutschlandtakt ABS Abzw. Mönchhof – Abzw. Mönchwald;D-7;ABS Abzw. Mönchhof – Abzw. Mönchwald;Mischverkehrsstrecke, Kapazitätssteigerung bzw. Engpassauflösun;niveaufreie Einfädelung Abzw. Mönchhof und Abzw. Mönchwald, zweigleisiger Ausbau der Strecke Abzw. Mönchhof-Abzw. Mönch­ wald;Abzw. Mönchhof – Abzw. Mönchwald;115;;WAHR;;;WAHR;;;;;;;;;;;WAHR;;;;;;;;;WAHR;WAHR;WAHR;;;Mainz - Frankfurt Flughafen;unmittelbar;3539;;ja;nein;nein;ja;Knoten Frankfurt;x
8;Deutschlandtakt ABS Kaiserbrücke Ost – Wiesbaden Hbf;D-8;ABS Kaiserbrücke Ost – Wiesbaden Hbf;Mischverkehrsstrecke, Kapazitätssteigerung aufgrund Mehrverkehr im SPNV durch zusätzliche Belegungsmöglichkeiten in Wiesbaden Hbffürdie S-Bahnen Rhein-Main und Rhein-Neckar;Abzw. Kaiserbrücke Ost- Wiesbaden Hbf: Reaktivierung des 2. Gleises der Strecke 3528 zwischen Wiesbaden Ost und Wiesbaden Salzbach, zusätzlich parallele Weichenverbindung in Wiesbaden Salzbach: parallele Fahrten Wiesbaden - 3603- 3528- Mainz und Wiesbaden - 3505- 3603 - Frankfurt;Kaiserbrücke Ost – Wiesbaden Hbf;11,7;;WAHR;;;WAHR;;;;;;;;;;;;;;;;;;WAHR;;FALSCH;FALSCH;WAHR;;;Knoten Wiesbaden;mittelbar;3528;;Kosten prüfen;nein;nein;ja;Maßnahmen Hessen/RLP; 
9;Deutschlandtakt ABS Wiesbaden Hbf – Abzw. Wiesbaden Kinzenberg ;D-9;ABS Wiesbaden Hbf – Abzw. Wiesbaden Kinzenberg ;Mischverkehrsstrecke, Steigerung Kapazität aufgrund von Mehrver- kehr im SPNV, Anschlussherstellung in Wiesbaden;parallele Weichenverbindung auf der Strecke Wiesbaden Hbf - Abzw. Wiesbaden Kinzenberg am Abzw. Kinzenberg, Ausrüstung für GWB Wiesbaden Hbf-Abzw. KinzenbergfürN21 HE;Wiesbaden Hbf – Abzw. Wiesbaden Kinzenberg ;15,9;;;;;;;;;;;;;;;;;;;;;;;WAHR;;FALSCH;FALSCH;WAHR;;;Knoten Wiesbaden;mittelbar;3509/3501;;Maßnahmen Fehler prüfen;nein;nein;ja;Maßnahmen Hessen/RLP; 
10;Deutschlandtakt ABS Werne an der Lippe – Münster-Amelsbüren;D-10;ABS Werne an der Lippe – Münster-Amelsbüren;Ergänzung/Optimierung BVWP zur Verbesserung von Betriebsquali- tät und Knoteneinbindung des RRX3 und Kapazitätserweiterung für Mehrverkehre SPFV, Engpassauflösung;vollständig zweigleisiger Ausbau Werne an der Lippe – Münster-Amelsbüren;Werne an der Lippe – Münster-Amelsbüren;200,7;;WAHR;;;WAHR;;;;;;;;;;;;;;;;;;;;FALSCH;FALSCH;WAHR;;;Lünen - Münster;mittelbar;2000;;Variante zu BVWP Projekt verknüpfen;nein;nein;ja;Maßnahmen NRW/Niedersachsen/SH;x
