alias_name,project_content_id,comment
740m‐Netz,39,
ABS Berlin ‐ Hannover,35,
ABS Kehl ‐ Appenweier  (POS Süd),77,
ABS Lübeck / Hagenow Land – Schwerin – Rostock – Stralsund (VDE 1),20,
ABS München ‐ Lindau ‐ Grenze D/A,95825,
ABS München ‐ Mühldorf ‐ Freilassing,85,
ABS München ‐ Rosenheim ‐ Kiefersfelden ‐ Grenze D/A,84,
ABS Stade ‐ Cuxhaven ABS Stendal ‐ Magdeburg ‐ Halle (Ostkorridor Nord),29,
ABS Stuttgart ‐ Singen ‐ Grenze D/CH (Gäubahn),79,
ABS Wilster ‐ Brunsbüttel,17,
ABS/NBS Hanau‐Fulda/Würzburg,95278,
ABS/NBS Nürnberg ‐ Erfurt,95446,
Knoten Frankfurt/Main,94,
Kombinierter Verkehr,,
Korridor Mittelrhein ‐ Zielnetz I,70,
NBS Dresden ‐ Prag,53,
ABS Bremerhaven ‐ Bremen ‐ Langwedel,95248,95248
Rhein ‐ Ruhr ‐ Express (RRX),60,
VDE 9 Leipzig ‐ Dresden,95447,
ABS/NBS Karlsruhe ‐ Basel,78,
ABS Berlin ‐ Dresden,95445,
ABS Karlsruhe – Stuttgart – Nürnberg – Leipzig / Dresden,95449,
ABS Leipzig – Dresden (VDE 9),95447,
ABS Kehl ‐ Appenweier (POS Süd),77,
ABS Nürnberg – Marktredwitz – Hof / Grenze D/CZ,91,
ABS Uelzen ‐ Stendal ‐ Magdeburg ‐ Halle,29,
ABS/NBS Hamburg – Hannover u.a. (Optimiertes Alpha E + Bremen),95433,
ABS/NBS Hamburg – Lübeck – Puttgarden (Hinterlandanbindung FBQ),18,
ABS/NBS Hanau – Würzburg/Fulda – Erfurt,95278,
ABS/NBS Nürnberg – Erfurt (VDE 8.1),95446,
Knoten Frankfurt,94,
VDE 8.3,,keine Zuordnung möglich
ABS Karlsruhe ‐ Basel,78,
"Mainz‐Mannheim, 1. BS",,
VDE 8.2 Leipzig ‐ Gröbers,,
NBS Hannover ‐ Würzburg,,
Rbf München Nord,,
"ABS 28, Mühldorf ‐ Freilassing, BSt 1b Ampfing‐ Mühldorf",,
"ABS Nürnberg ‐ Marktredwitz ‐ Reichenbach/Grenze D/CZ,",,
ABS Hamburg ‐ Travemünde (‐Puttgarden):,,
Elektrifizierung HH‐Lübeck‐Travemünde ,,
Elektrifizierung HH‐Lübeck‐Travemünde,,
ABS Stendal ‐ Magdeburg ‐ Halle (Ostkorridor Nord),29,
