Streckennummer:;Anfangkm:;Endekm:;Streckenname:
1000;170.815;179.784;Flensburg Weiche. W 1 - Harrislee (DB-Grenze)
1001;-36;35.700;Flensburg Weiche. W 164 - Lindholm. W 7
1002;172.810;178.531;Flensburg Weiche. W 162 - BD-Grenze (Fl..östl.Hafengl.). H-Bahn
1003;177.305;180.110;Flensburg Alter Bahnhof. W 3 - BD-Grenze (Fl..westl.Hafengl.).H-Bahn
1004;0;100;ehemalige Strecke - Flensburg Alter Bahnhof - Flensburg. Oestlich
1005;-1;5.666;Flensburg - Abzw Friedensweg. W 3
1010;131.969;135.882;Schleswig. W 801 - Schleswig Altstadt. G-Bahn
1011;499;26.465;Jübek. W 23 - Husum. W 41
1012;420;49.191;Rendsburg. W 89 - Husum. W 40. G-Bahn
1020;3.383;81.187;Kiel-Hassee. W 19 - Flensburg. W 1
1021;10;4.390;Kiel-Hassee. W 3 - Kiel West. G-Bahn
1022;32;30.955;Kiel Hbf - Osterrönfeld. W 105
1023;35;63.350;Kiel Hbf - Neustadt (Holst)
1030;100.971;104.157;Meimersdorf. Stw Meg. W 41 - Kiel Hgbf. Gl 20. G-Bahn
1031;99.913;106.525;Meimersdorf. Stw Mf. W 1 - Kiel-Hassee. W 1. G-Bahn
1032;100.143;105.629;Meimersdorf. Stw Mf. W 5 - Kiel Hbf. Stw Kp. G-Bahn
1033;100.951;103.853;Meimersdorf. Stw Meg. W 46 - Kiel Hbf. Stw Ss. G-Bahn
1040;74.163;176.230;Neumünster. W 7 - Flensburg
1041;74.376;100.465;Neumünster. W 13 - Ascheberg (Holst). W 25
1042;-214;62.851;Neumünster. W 15 - Heide (Holst). W 79
1043;74.506;119.866;Neumünster. W 132 - Bad Oldesloe. W 22
1100;0;88.735;Lübeck Hbf - Puttgarden
1101;22;4.996;Heiligenhafen - Lütjenbrode. Sbk L. W 2
1102;0;100;ehemalige Strecke - Lüdjenbrode - SBK A
1103;5.350;20.994;Burg (Fehmarn) - Orth (Fehmarn)
1104;0;804;Burg (Fehmarn). Sbk D. W 7 - Burg West. Sbk N 4. W 6. G-Bahn
1110;-304;27.358;Eutin. W 6 - Bad Schwartau. W 40
1111;0;8.008;Pönitz (Holst) - Ahrensbök. G-Bahn
1112;-559;17.660;Malente-Gremsmühlen. W 35 - Lütjenburg
1113;4.699;20.630;Abzw Schwartau Waldhalle (Wr). W 1 - Lüb-Travemünde Strand
1114;0;100;ehemalige Strecke - Lübeck-Travemünde Hafen - Niendorf (Ostsee)
1115;-159;5.500;Lübeck-Dänischburg. W 2 - Herrenwyk.Metallhüttenw.(Glan).G-Bahn
