;budget_year;lfd_nr;fin_ve;bedarfsplan_number;name;starting_year;cost_estimate_original;cost_estimate_last_year;cost_estimate_actual;cost_estimate_actual_third_parties;cost_estimate_actual_equity;cost_estimate_actual_891_01;cost_estimate_actual_891_02;cost_estimate_actual_891_03;cost_estimate_actual_891_04;cost_estimate_actual_891_91;delta_previous_year;delta_previous_year_relativ;delta_previous_year_reasons;spent_two_years_previous;spent_two_years_previous_third_parties;spent_two_years_previous_equity;spent_two_years_previous_891_01;spent_two_years_previous_891_02;spent_two_years_previous_891_03;spent_two_years_previous_891_04;spent_two_years_previous_891_91;allowed_previous_year;allowed_previous_year_third_parties;allowed_previous_year_equity;allowed_previous_year_891_01;allowed_previous_year_891_02;allowed_previous_year_891_03;allowed_previous_year_891_04;allowed_previous_year_891_91;spending_residues;spending_residues_891_01;spending_residues_891_02;spending_residues_891_03;spending_residues_891_04;spending_residues_891_91;year_planned;year_planned_third_parties;year_planned_equity;year_planned_891_01;year_planned_891_02;year_planned_891_03;year_planned_891_04;year_planned_891_91;next_years;next_years_third_parties;next_years_equity;next_years_891_01;next_years_891_02;next_years_891_03;next_years_891_04;next_years_891_91
0;2023;B0080;275;N20;"ABS Angermünde‐ Grenze D/PL (‐Stettin)
";2021;379844;379828;444440;100.000;20.498;444.440;-;-;-;-;64612;0.1701085754604716;;14840;‐;781;14.840;-;-;-;-;165749;‐;8.724;165.749;-;-;-;-;‐;‐;-;-;-;-;28544;25.000;1.189;28.544;-;-;-;-;235307;75.000;9.804;235.307;-;-;-;-
1;2023;B0001;30;L 21;ABS Augsburg ‐ München, Augsburg ‐ Mering ‐ Olching ;1997;469877;621983;621404;-;ERGÄNZEN;619.443;-;1.961;-;-;-579;-0.0009308936096324176;;614806;-;-;612.845;-;1.961;-;-;2252;-;-;2.252;-;‐;-;-;3062;3.062;-;‐;-;-;1177;-;-;1.177;-;‐;-;-;107;-;-;107;-;‐;-;-
2;2023;B0002;730;L 05;"ABS Berlin ‐ Dresden, 1. Baustufe,
2. Realisierungsstufe
";2008;189361;419875;421554;-;5.860;384.775;-;-;22.009;14.770;1679;0.003998809169395654;;370591;-;3.375;333.812;-;-;22.009;14.770;33028;-;1.738;33.028;-;-;‐;‐;‐;‐;-;-;‐;‐;16835;-;701;16.835;-;-;‐;‐;1100;-;46;1.100;-;-;‐;‐
3;2023;B0081;732;L 05;"ABS Berlin ‐ Dresden, 1. Baustufe,
2. Realisierungsstufe (Bf Zossen)
";2021;43941;46397;49654;-;2.178;49.654;-;-;-;-;3257;0.07019850421363451;;661;-;35;661;-;-;-;-;7820;-;486;7.820;-;-;-;-;1404;1.404;-;-;-;-;11506;-;479;11.506;-;-;-;-;28263;-;1.178;28.263;-;-;-;-
4;2023;B0003;72;L 14;ABS Berlin ‐ Frankfurt(Oder) ‐ Grenze D/PL;2005;431247;595750;610954;-;ERGÄNZEN;537.751;-;1.517;71.686;-;15204;0.02552077213596307;;472545;-;-;399.342;-;1.517;71.686;-;10323;-;-;10.323;-;‐;‐;-;1308;1.308;-;‐;‐;-;11741;-;-;11.741;-;‐;‐;-;115037;-;-;115.037;-;‐;‐;-
5;2023;B0006;5010;L 19;"ABS Fulda ‐ Frankfurt a.M., 3. Baustufe (Linienverbesserung Neuhof)
";2005;45870;49040;50828;-;ERGÄNZEN;50.828;-;-;-;-;1788;0.036460032626427406;;49687;-;-;49.687;-;-;-;-;815;-;-;815;-;-;-;-;219;219;-;-;-;-;107;-;-;107;-;-;-;-;‐;-;-;‐;-;-;-;-
6;2023;B0004;271;L 30;"ABS Grenze D/NL ‐ Emmerich ‐ Oberhausen, dreigleisiger Ausbau + Knoten Oberhausen (Abschnitt 5)
";2013;746250;1124149;1398310;450.090;80.216;1.385.694;-;12.616;-;-;274161;0.24388315072112327;;70923;116.092;7.535;58.307;-;12.616;-;-;724;256.264;16.594;724;-;‐;-;-;19662;19.662;-;‐;-;-;142633;73.850;9.020;142.633;-;‐;-;-;1164368;3.884;47.067;1.164.368;-;‐;-;-
7;2023;B0104;271;N 21;"ABS Hannover – Berlin (Lehrter Stammbahn),
1. Bauabschnitt
Unterlagen entsprechend § 24 Abs. 4 BHO liegen noch nicht (vollständig) vor.
";vsl.2022;746250;1124149;153428;-;ERGÄNZEN;153.428;-;-;-;-;-970721;-0.8635163132289403;;‐;-;-;‐;-;-;-;-;‐;-;-;‐;-;-;-;-;‐;‐;-;-;-;-;2005;-;-;2.005;-;-;-;-;151423;-;-;151.423;-;-;-;-
8;2023;B0011;269;L 31;"ABS Hoyerswerda ‐ Horka ‐ Grenze D/PL
";2012;368726;416227;447309;-;8.906;372.793;-;52.821;21.695;-;31082;0.07467559769068322;;384043;-;5.626;309.527;-;52.821;21.695;-;12615;-;3.088;12.615;-;‐;‐;-;17974;17.974;-;‐;ERGÄNZEN;-;4000;-;167;4.000;-;‐;‐;-;28677;-;25;28.677;-;‐;‐;-
9;2023;B0010;31;L 13;"ABS Karlsruhe ‐ Stuttgart ‐ Nürnberg ‐ Leipzig/Dresden (Franken‐Sachsen‐Magistrale)
";1997;1183181;1271669;1299425;-;16.878;1.276.514;-;-;10.987;11.924;27756;0.02182643439448473;;1117230;-;8.662;1.094.319;-;-;10.987;11.924;54767;-;2.990;54.767;-;-;‐;‐;2048;2.048;-;-;‐;ERGÄNZEN;15300;-;638;15.300;-;-;‐;‐;110080;-;4.588;110.080;-;-;‐;‐
